Title,Movie Info,Year,Domestic Sales (in $),Release Date,Genre
Independence Day,"The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive.",1996,306169268,3-Jul-96,"['Action', 'Adventure', 'Sci-Fi']"
E.T. the Extra-Terrestrial,A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.,1982,437141279,11-Jun-82,"['Adventure', 'Family', 'Sci-Fi']"
Men in Black 3,Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.,2012,179020854,23-May-12,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']"
War of the Worlds,An alien invasion threatens the future of humanity. The catastrophic nightmare is depicted through the eyes of one American family fighting for survival.,2005,234280354,29-Jun-05,"['Action', 'Adventure', 'Sci-Fi']"
Home,"An alien on the run from his own people makes friends with a girl. He tries to help her on her quest, but can be an interference.",2015,177397510,19-Mar-15,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']"
Monsters vs. Aliens,A woman transformed into a giant after she is struck by a meteorite on her wedding day becomes part of a team of monsters sent in by the U.S. government to defeat an alien mastermind trying to take over Earth.,2009,198351526,19-Mar-09,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']"
Edge of Tomorrow,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.",2014,100206256,28-May-14,"['Action', 'Adventure', 'Sci-Fi']"
Pixels,"When aliens misinterpret video feeds of classic arcade games as a declaration of war, they attack the Earth in the form of the video games.",2015,78747585,16-Jul-15,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi']"
The Day the Earth Stood Still,A remake of the 1951 classic science fiction film about an alien visitor and his giant robot counterpart who visit Earth.,2008,79366978,10-Dec-08,"['Adventure', 'Drama', 'Sci-Fi', 'Thriller']"
Arrival,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.,2016,100546139,10-Nov-16,"['Drama', 'Mystery', 'Sci-Fi']"
The X Files,Mulder and Scully must fight the government in a conspiracy and find the truth about an alien colonization of Earth.,1998,83898313,4-Aug-00,"['Action', 'Horror', 'Sci-Fi', 'Thriller']"
